Name,AUID,Coords,Const,Type,Period,Mag
"Gaia DR3 146698078328904064","--","04 40 05.84 +23 18 16.4","Tau","ROT","--","9.17 - 9.19 G"
"Gaia DR3 147336589642172032","--","04 43 16.34 +24 55 48.1","Tau","VAR","0.0435431","9.24 - 9.28 G"
"Gaia DR3 147911458129185024","--","04 32 39.80 +25 07 21.8","Tau","ACV|roAm|roAp|SXARI","--","9.76 - 9.83 G"
"Gaia DR3 150907081855211520","--","04 31 16.47 +25 01 49.6","Tau","ROT","--","8.32 - 8.34 G"
"Gaia DR3 158082872695645312","--","04 41 18.32 +29 14 58.6","Tau","ROT","--","9.42 - 9.46 G"
"Gaia DR3 163205291211444864","--","04 11 16.43 +27 55 45.0","Tau","DSCT|GDOR|SXPHE","0.1826107","9.93 - 9.96 G"
"Gaia DR3 164279582793399936","--","04 09 06.68 +29 09 44.0","Tau","L","--","9.41 - 9.55 G"
"Gaia DR3 164302844336241920","--","04 09 02.91 +29 22 20.6","Tau","L","--","8.32 - 8.52 G"
"Gaia DR3 164798139962321408","--","04 16 11.08 +29 07 15.4","Tau","E","2.5725","9.43 - 9.57 G"
"Gaia DR3 164941072177351424","--","04 18 16.80 +29 48 25.3","Tau","DSCT|GDOR|SXPHE","0.67012","9.61 - 9.64 G"
"Gaia DR3 166098930940383744","--","04 19 07.90 +30 27 39.9","Tau","DSCT|GDOR|SXPHE","--","9.69 - 9.74 G"
"Gaia DR3 167081928693636096","--","03 56 19.08 +28 59 59.3","Tau","ACV|roAm|roAp|SXARI","--","9.95 - 9.99 G"
"Gaia DR3 167788227476152576","--","03 51 10.00 +29 06 26.6","Tau","ROT","--","9.81 - 9.85 G"
"Gaia DR3 168094956860257280","--","03 48 18.50 +29 56 51.0","Tau","ACV|roAm|roAp|SXARI","--","9.18 - 9.26 G"
"Gaia DR3 168108185359462784","--","03 48 52.55 +30 11 06.3","Tau","L","--","9.20 - 9.40 G"
"Gaia DR3 3230606853101771008","--","04 33 44.93 +00 20 26.3","Tau","DSCT|GDOR|SXPHE","0.63342","8.89 - 8.95 G"
"Gaia DR3 3230853624743087104","--","04 40 05.58 +00 33 02.4","Tau","ACV|roAm|roAp|SXARI","--","8.55 - 8.59 G"
"Gaia DR3 3230985256900800896","--","04 43 00.38 +01 06 28.4","Tau","ACV|roAm|roAp|SXARI","--","8.28 - 8.32 G"
"Gaia DR3 3255498628125099392","--","04 12 08.65 +00 44 13.9","Tau","ROT","--","9.93 - 9.96 G"
"Gaia DR3 3258090177031054976","--","03 54 04.92 +00 59 59.3","Tau","ROT","--","9.45 - 9.49 G"
"Gaia DR3 3259106881689370752","--","04 17 40.07 +02 21 59.8","Tau","DSCT|GDOR|SXPHE","--","9.66 - 9.69 G"
"Gaia DR3 3259477485828534144","--","04 12 47.46 +03 26 48.9","Tau","DSCT|GDOR|SXPHE","--","9.92 - 9.95 G"
"Gaia DR3 3264328668566685952","--","03 26 47.95 +00 05 51.8","Tau","DSCT|GDOR|SXPHE","--","9.66 - 9.72 G"
"Gaia DR3 3264801870883734912","--","03 37 14.19 +01 20 57.9","Tau","ACV|roAm|roAp|SXARI","--","8.66 - 8.72 G"
"Gaia DR3 3269801384616336000","--","03 50 06.73 +01 10 36.0","Tau","ROT","1.88865","9.86 - 9.89 G"
"Gaia DR3 3270530566984559616","--","03 46 50.65 +02 12 33.4","Tau","DSCT|GDOR|SXPHE","0.014437","9.82 - 9.91 G"
"Gaia DR3 3271193744293115264","--","03 38 50.60 +02 50 54.1","Tau","ROT","--","9.52 - 9.55 G"
"Gaia DR3 3273347343976006656","--","03 46 00.90 +04 34 11.1","Tau","ROT","--","9.89 - 9.92 G"
"Gaia DR3 3273657818571493888","--","03 54 49.70 +05 35 01.6","Tau","DSCT|GDOR|SXPHE","1.63385","8.20 - 8.24 G"
"Gaia DR3 3274729155212442880","--","03 41 09.86 +04 11 08.9","Tau","RS","--","8.12 - 8.18 G"
"Gaia DR3 3276265825791717632","--","03 35 30.53 +06 24 38.3","Tau","ACV|roAm|roAp|SXARI","--","8.82 - 8.87 G"
"Gaia DR3 3276450097070051712","--","03 44 39.86 +05 18 57.0","Tau","DSCT|GDOR|SXPHE","0.0703298","9.48 - 9.52 G"
"Gaia DR3 3277281740177862784","--","03 49 14.77 +07 22 49.2","Tau","DSCT|GDOR|SXPHE","--","8.98 - 9.01 G"
"Gaia DR3 3277954744371227648","--","03 41 08.18 +07 36 56.5","Tau","ROT","--","9.79 - 9.81 G"
"Gaia DR3 3279588275053294464","--","04 32 12.21 +02 34 26.8","Tau","E","0.54388","9.56 - 9.64 G"
"Gaia DR3 3279962418244623616","--","04 25 24.90 +02 13 04.5","Tau","ACV|roAm|roAp|SXARI","--","8.05 - 8.09 G"
"Gaia DR3 3283323968888028288","--","04 21 48.40 +03 36 45.4","Tau","DSCT|GDOR|SXPHE","--","9.56 - 9.59 G"
"Gaia DR3 3283364444659834752","--","04 20 37.71 +03 42 33.5","Tau","ACV|roAm|roAp|SXARI","--","9.85 - 9.88 G"
"Gaia DR3 3286811379253103104","--","04 21 34.17 +06 58 27.3","Tau","ACV|roAm|roAp|SXARI","--","8.30 - 8.57 G"
"Gaia DR3 3293372955410031616","--","04 36 04.62 +09 12 17.4","Tau","DSCT|GDOR|SXPHE","0.1572395","9.54 - 9.57 G"
"Gaia DR3 3294091211380706432","--","04 43 31.74 +11 10 00.1","Tau","ROT","--","9.89 - 9.93 G"
"Gaia DR3 3298310449814009856","--","04 01 32.23 +08 07 57.3","Tau","DSCT|GDOR|SXPHE","--","9.77 - 9.79 G"
"Gaia DR3 3300132993416183680","--","04 13 19.33 +09 19 21.9","Tau","ROT","--","9.84 - 9.87 G"
"Gaia DR3 3301614241737699712","--","03 57 15.82 +08 55 15.9","Tau","ROT","--","9.58 - 9.62 G"
"Gaia DR3 3302383693718916224","--","03 50 59.16 +09 16 39.2","Tau","DSCT|GDOR|SXPHE","--","9.10 - 9.12 G"
